Size	Latency (us)	np	Algorithm
2	0.84	3	broadcast_flat
4	0.79	3	broadcast_flat
8	0.79	3	broadcast_flat
16	0.78	3	broadcast_flat
32	0.74	3	broadcast_flat
64	0.75	3	broadcast_flat
128	1.22	3	broadcast_flat
256	1.62	3	broadcast_flat
512	1.35	3	broadcast_flat
1024	1.61	3	broadcast_flat
2048	2.17	3	broadcast_flat
4096	3.10	3	broadcast_flat
8192	4.64	3	broadcast_flat
16384	7.48	3	broadcast_flat
32768	12.53	3	broadcast_flat
65536	16.36	3	broadcast_flat
131072	49.08	3	broadcast_flat
262144	45.18	3	broadcast_flat
524288	84.66	3	broadcast_flat
1048576	171.58	3	broadcast_flat
2	0.70	3	broadcast_chain
4	0.63	3	broadcast_chain
8	0.64	3	broadcast_chain
16	0.64	3	broadcast_chain
32	0.75	3	broadcast_chain
64	0.75	3	broadcast_chain
128	1.22	3	broadcast_chain
256	1.23	3	broadcast_chain
512	1.34	3	broadcast_chain
1024	1.68	3	broadcast_chain
2048	2.21	3	broadcast_chain
4096	3.16	3	broadcast_chain
8192	4.73	3	broadcast_chain
16384	7.72	3	broadcast_chain
32768	12.28	3	broadcast_chain
65536	16.99	3	broadcast_chain
131072	27.60	3	broadcast_chain
262144	45.87	3	broadcast_chain
524288	85.41	3	broadcast_chain
1048576	175.90	3	broadcast_chain
2	0.67	3	broadcast_binary_tree
4	0.63	3	broadcast_binary_tree
8	0.62	3	broadcast_binary_tree
16	0.63	3	broadcast_binary_tree
32	0.75	3	broadcast_binary_tree
64	0.74	3	broadcast_binary_tree
128	1.21	3	broadcast_binary_tree
256	1.26	3	broadcast_binary_tree
512	1.34	3	broadcast_binary_tree
1024	1.64	3	broadcast_binary_tree
2048	2.21	3	broadcast_binary_tree
4096	3.15	3	broadcast_binary_tree
8192	4.67	3	broadcast_binary_tree
16384	7.57	3	broadcast_binary_tree
32768	11.81	3	broadcast_binary_tree
65536	16.36	3	broadcast_binary_tree
131072	26.48	3	broadcast_binary_tree
262144	45.37	3	broadcast_binary_tree
524288	82.43	3	broadcast_binary_tree
1048576	171.76	3	broadcast_binary_tree
2	0.80	3	scatter_flat
4	0.74	3	scatter_flat
8	0.74	3	scatter_flat
16	0.74	3	scatter_flat
32	0.74	3	scatter_flat
64	0.72	3	scatter_flat
128	1.18	3	scatter_flat
256	1.59	3	scatter_flat
512	1.33	3	scatter_flat
1024	1.62	3	scatter_flat
2048	2.14	3	scatter_flat
4096	3.09	3	scatter_flat
8192	4.59	3	scatter_flat
16384	7.12	3	scatter_flat
32768	11.95	3	scatter_flat
65536	16.01	3	scatter_flat
131072	49.21	3	scatter_flat
262144	44.49	3	scatter_flat
524288	82.16	3	scatter_flat
1048576	165.92	3	scatter_flat
2	0.66	3	scatter_basic_linear
4	0.60	3	scatter_basic_linear
8	0.61	3	scatter_basic_linear
16	0.61	3	scatter_basic_linear
32	0.72	3	scatter_basic_linear
64	0.74	3	scatter_basic_linear
128	1.19	3	scatter_basic_linear
256	1.22	3	scatter_basic_linear
512	1.32	3	scatter_basic_linear
1024	1.66	3	scatter_basic_linear
2048	2.20	3	scatter_basic_linear
4096	3.14	3	scatter_basic_linear
8192	4.67	3	scatter_basic_linear
16384	7.18	3	scatter_basic_linear
32768	11.70	3	scatter_basic_linear
65536	16.49	3	scatter_basic_linear
131072	26.59	3	scatter_basic_linear
262144	45.91	3	scatter_basic_linear
524288	84.43	3	scatter_basic_linear
1048576	168.36	3	scatter_basic_linear
2	0.69	3	scatter_binomial
4	0.63	3	scatter_binomial
8	0.64	3	scatter_binomial
16	0.62	3	scatter_binomial
32	0.74	3	scatter_binomial
64	0.75	3	scatter_binomial
128	1.22	3	scatter_binomial
256	1.25	3	scatter_binomial
512	1.34	3	scatter_binomial
1024	1.67	3	scatter_binomial
2048	2.20	3	scatter_binomial
4096	3.13	3	scatter_binomial
